path	variant	rule
test/language/arguments-object/10.5-1gs.js	strict	assignment-target.strict-restricted-identifier
test/language/asi/S7.9.2_A1_T1.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9.2_A1_T1.js	strict	statement.missing-semicolon
test/language/asi/S7.9.2_A1_T3.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9.2_A1_T3.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A10_T4.js	sloppy	syntax.expecting-close-paren
test/language/asi/S7.9_A10_T4.js	strict	syntax.expecting-close-paren
test/language/asi/S7.9_A10_T8.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9_A10_T8.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A11_T4.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9_A11_T4.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A5.1_T1.js	sloppy	expression.unexpected-token
test/language/asi/S7.9_A5.1_T1.js	strict	expression.unexpected-token
test/language/asi/S7.9_A5.3_T1.js	sloppy	expression.unexpected-token
test/language/asi/S7.9_A5.3_T1.js	strict	expression.unexpected-token
test/language/asi/S7.9_A6.2_T5.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T5.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T6.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T6.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T8.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T8.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T9.js	sloppy	statement.missing-semicolon
test/language/asi/S7.9_A6.2_T9.js	strict	statement.missing-semicolon
test/language/asi/S7.9_A6.4_T1.js	sloppy	syntax.expecting-close-paren
test/language/asi/S7.9_A6.4_T1.js	strict	syntax.expecting-close-paren
test/language/asi/S7.9_A6.4_T2.js	sloppy	expression.unexpected-token
test/language/asi/S7.9_A6.4_T2.js	strict	expression.unexpected-token
test/language/block-scope/syntax/redeclaration/async-function-name-redeclaration-attempt-with-async-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/async-function-name-redeclaration-attempt-with-async-function.js	strict	lexical-binding.duplicate-declaration
